Tabela de observabilidade para a noite de 2025-09-07


--------------------------------------------------------------------------------------------------------------------------------------------------------

Unidades: RA, DEC hh mm ss.sss dd mm ss.s | EL: dd.d | Mag: mag aparente | moon_dis: dd.d | moon_lum: %


Objeto                            | 18:00 | 19:00 | 20:00 | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 |
4754 Panthoos (5010 T-3)          |       |       |       |       |       |       |       |       |  40.1 |  50.9 |  58.4 |  60.0 |  54.8 |
17365 Thymbraeus (1978 VF11)      |       |       |       |       |       |       |       |       |  37.8 |  42.5 |  42.8 |  38.8 |       |
4543 Phoinix (1989 CQ1)           |       |       |       |       |       |       |       |       |       |       |       |       |       |
5258 Rhoeo (1989 AU1)             |       |       |       |       |       |       |       |       |       |       |       |       |       |
5284 Orsilocus (1989 CK2)         |       |       |       |       |       |       |       |       |       |       |       |       |       |
1873 Agenor (1971 FH)             |       |       |       |       |       |       |  40.7 |  50.7 |  57.0 |  57.2 |  51.4 |  41.6 |       |
12126 Chersidamas (1999 RM11)     |       |       |       |       |       |       |       |       |  35.1 |  42.7 |  46.6 |  45.7 |  40.2 |
21601 Aias (1998 XO89)            |       |       |       |       |       |       |       |       |       |       |       |       |       |
16974 Iphthime (1998 WR21)        |       |       |       |       |       |       |       |       |       |       |       |       |       |
11552 Boucolion (1993 BD4)        |       |       |       |       |       |       |       |       |       |  39.4 |  50.2 |  57.8 |  59.5 |
17492 Hippasos (1991 XG1)         |       |       |       |       |       |       |       |       |       |       |  42.3 |  50.9 |  55.0 |
2146 Stentor (1976 UQ)            |       |       |       |       |       |       |       |       |       |       |       |       |       |
5652 Amphimachus (1992 HS3)       |       |       |       |       |       |       |       |       |       |       |       |       |       |
11395 Iphinous (1998 XN77)        |       |       |       |       |       |       |       |       |       |       |       |       |       |
6545 Leitus (1986 TR6)            |       |       |       |       |       |       |       |       |       |       |       |       |       |
5028 Halaesus (1988 BY1)          |       |       |       |       |       |       |       |       |       |       |       |       |       |
1871 Astyanax (1971 FF)           |       |       |       |       |  36.2 |  49.5 |  61.4 |  69.6 |  69.0 |  60.2 |  48.0 |       |       |
468861 (2013 LU28)                |       |       |       |       |       |       |       |       |       |       |       |       |       |
2060 Chiron (1977 UB)             |       |       |       |       |       |       |  40.4 |  50.0 |  55.8 |  55.8 |  49.9 |  40.2 |       |
14268 (2000 AK156)                |       |       |       |       |       |       |       |       |       |       |       |       |       |
20729 Opheltius (1999 XS143)      |       |       |       |       |       |       |       |       |       |       |       |       |       |
5126 Achaemenides (1989 CH2)      |       |       |       |       |       |       |       |       |       |       |       |       |       |
136199 Eris (2003 UB313)          |       |       |       |       |       |       |  44.5 |  56.4 |  65.3 |  67.2 |  60.6 |  49.6 |  36.9 |
145627 (2006 RY102)               |       |       |       |       |       |       |       |       |       |       |       |       |       |
306173 (2010 NK83)                |       |       |       |       |       |       |       |       |       |       |       |  35.7 |  44.0 |
50000 Quaoar (2002 LM60)          |  67.0 |  79.4 |  80.0 |  67.8 |  54.1 |  40.2 |       |       |       |       |       |       |       |
90482 Orcus (2004 DW)             |       |       |       |       |       |       |       |       |       |       |       |       |       |
58931 Palmys (1998 MK47)          |       |       |       |       |       |       |  36.8 |  50.2 |  62.4 |  70.9 |  70.3 |  61.1 |  48.8 |
28978 Ixion (2001 KX76)           |  70.3 |  79.7 |  76.6 |  65.4 |  52.8 |  40.1 |       |       |       |       |       |       |       |
471143 Dziewanna (2010 EK139)     |  55.2 |  45.7 |  35.5 |       |       |       |       |       |       |       |       |       |       |
38628 Huya (2000 EB173)           |  73.8 |  73.4 |  63.4 |  50.6 |  37.0 |       |       |       |       |       |       |       |       |
229762 G!kun||'homdima (2007 UK1  |       |       |       |       |       |       |       |       |       |       |  43.8 |  54.4 |  61.1 |
145452 Ritona (2005 RN43)         |       |       |       |       |  47.1 |  58.0 |  64.7 |  63.9 |  56.0 |  44.6 |       |       |       |
523643 (2010 TY53)                |       |       |       |       |       |       |       |       |  47.6 |  59.3 |  67.5 |  67.7 |  59.7 |
44594 (1999 OX3)                  |       |       |       |       |       |       |       |       |       |  42.1 |  46.5 |  46.2 |  41.3 |
679997 (2023 RB)                  |       |       |       |       |  39.7 |  52.5 |  63.5 |  69.4 |  66.0 |  56.1 |  43.6 |       |       |
(2003 HM57)                       |  41.4 |  54.5 |  67.6 |  79.7 |  81.4 |  69.8 |  56.8 |  43.7 |       |       |       |       |       |
84922 (2003 VS2)                  |       |       |       |       |       |       |       |       |       |       |       |       |       |
230965 (2004 XA192)               |       |       |       |       |       |       |       |       |       |       |       |       |       |
679964 (2022 LV2)                 |  50.7 |  60.5 |  65.1 |  61.6 |  52.3 |  40.3 |       |       |       |       |       |       |       |
55637 Uni (2002 UX25)             |       |       |       |       |       |       |       |       |  40.3 |  50.4 |  56.8 |  57.3 |  51.7 |
----------------------------------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+


--------------------------------------------------------------------------------------------------------------------------------------------------------





Local Time: 2025-09-07 18:00 -- UTC: 2025-09-07 21:00
--------------------------------------------------------------------------------------------------------------------------------------------------------
Pluto (999)                      	| RA, DEC 20 17 44.74 -23 33 34.7	| EL: 45.8	| Mag: 14.5	| moon_dis: 46.5	| moon_lum: 100.0
136108 Haumea (2003 EL61)        	| RA, DEC 14 34 57.25 +14 14 21.9	| EL: 38.1	| Mag: 17.3	| moon_dis: 129.9	| moon_lum: 100.0
50000 Quaoar (2002 LM60)         	| RA, DEC 18 36 51.25 -15 05 03.5	| EL: 67.0	| Mag: 18.9	| moon_dis: 69.0	| moon_lum: 100.0
28978 Ixion (2001 KX76)          	| RA, DEC 18 22 36.08 -32 04 57.2	| EL: 70.3	| Mag: 19.4	| moon_dis: 73.0	| moon_lum: 100.0
471143 Dziewanna (2010 EK139)    	| RA, DEC 14 58 36.26 -46 13 17.4	| EL: 55.2	| Mag: 19.6	| moon_dis: 108.9	| moon_lum: 100.0
38628 Huya (2000 EB173)          	| RA, DEC 17 33 17.68 -07 47 51.4	| EL: 73.8	| Mag: 19.7	| moon_dis: 84.8	| moon_lum: 100.0
(2003 HM57)                      	| RA, DEC 20 40 41.07 -29 13 31.0	| EL: 41.4	| Mag: 19.9	| moon_dis: 43.8	| moon_lum: 100.0
679964 (2022 LV2)                	| RA, DEC 19 09 41.13 +02 21 07.5	| EL: 50.7	| Mag: 19.9	| moon_dis: 61.7	| moon_lum: 100.0


Local Time: 2025-09-07 19:00 -- UTC: 2025-09-07 22:00
--------------------------------------------------------------------------------------------------------------------------------------------------------
Pluto (999)                      	| RA, DEC 20 17 44.57 -23 33 35.2	| EL: 59.5	| Mag: 14.5	| moon_dis: 47.1	| moon_lum: 99.9
50000 Quaoar (2002 LM60)         	| RA, DEC 18 36 51.19 -15 05 04.0	| EL: 79.4	| Mag: 18.9	| moon_dis: 69.5	| moon_lum: 99.9
28978 Ixion (2001 KX76)          	| RA, DEC 18 22 36.02 -32 04 56.9	| EL: 79.7	| Mag: 19.4	| moon_dis: 73.6	| moon_lum: 99.9
471143 Dziewanna (2010 EK139)    	| RA, DEC 14 58 36.52 -46 13 16.5	| EL: 45.7	| Mag: 19.6	| moon_dis: 109.4	| moon_lum: 99.9
38628 Huya (2000 EB173)          	| RA, DEC 17 33 17.70 -07 47 52.8	| EL: 73.4	| Mag: 19.7	| moon_dis: 85.3	| moon_lum: 99.9
(2003 HM57)                      	| RA, DEC 20 40 40.68 -29 13 30.6	| EL: 54.5	| Mag: 19.9	| moon_dis: 44.3	| moon_lum: 99.9
679964 (2022 LV2)                	| RA, DEC 19 09 40.98 +02 21 01.5	| EL: 60.5	| Mag: 19.9	| moon_dis: 62.2	| moon_lum: 99.9


Local Time: 2025-09-07 20:00 -- UTC: 2025-09-07 23:00
--------------------------------------------------------------------------------------------------------------------------------------------------------
Pluto (999)                      	| RA, DEC 20 17 44.41 -23 33 35.7	| EL: 73.3	| Mag: 14.5	| moon_dis: 47.6	| moon_lum: 99.9
50000 Quaoar (2002 LM60)         	| RA, DEC 18 36 51.13 -15 05 04.5	| EL: 80.0	| Mag: 18.9	| moon_dis: 70.0	| moon_lum: 99.9
28978 Ixion (2001 KX76)          	| RA, DEC 18 22 35.96 -32 04 56.5	| EL: 76.6	| Mag: 19.4	| moon_dis: 74.1	| moon_lum: 99.9
471143 Dziewanna (2010 EK139)    	| RA, DEC 14 58 36.78 -46 13 15.6	| EL: 35.5	| Mag: 19.6	| moon_dis: 109.9	| moon_lum: 99.9
38628 Huya (2000 EB173)          	| RA, DEC 17 33 17.72 -07 47 54.2	| EL: 63.4	| Mag: 19.7	| moon_dis: 85.8	| moon_lum: 99.9
(2003 HM57)                      	| RA, DEC 20 40 40.30 -29 13 30.3	| EL: 67.6	| Mag: 19.9	| moon_dis: 44.8	| moon_lum: 99.9
679964 (2022 LV2)                	| RA, DEC 19 09 40.84 +02 20 55.5	| EL: 65.1	| Mag: 19.9	| moon_dis: 62.6	| moon_lum: 99.9


Local Time: 2025-09-07 21:00 -- UTC: 2025-09-08 00:00
--------------------------------------------------------------------------------------------------------------------------------------------------------
Pluto (999)                      	| RA, DEC 20 17 44.24 -23 33 36.3	| EL: 87.0	| Mag: 14.5	| moon_dis: 48.1	| moon_lum: 99.9
50000 Quaoar (2002 LM60)         	| RA, DEC 18 36 51.07 -15 05 05.0	| EL: 67.8	| Mag: 18.9	| moon_dis: 70.5	| moon_lum: 99.9
28978 Ixion (2001 KX76)          	| RA, DEC 18 22 35.90 -32 04 56.2	| EL: 65.4	| Mag: 19.4	| moon_dis: 74.6	| moon_lum: 99.9
38628 Huya (2000 EB173)          	| RA, DEC 17 33 17.74 -07 47 55.5	| EL: 50.6	| Mag: 19.7	| moon_dis: 86.2	| moon_lum: 99.9
(2003 HM57)                      	| RA, DEC 20 40 39.92 -29 13 29.9	| EL: 79.7	| Mag: 19.9	| moon_dis: 45.3	| moon_lum: 99.9
679964 (2022 LV2)                	| RA, DEC 19 09 40.69 +02 20 49.5	| EL: 61.6	| Mag: 19.9	| moon_dis: 63.0	| moon_lum: 99.9


Local Time: 2025-09-07 22:00 -- UTC: 2025-09-08 01:00
--------------------------------------------------------------------------------------------------------------------------------------------------------
Pluto (999)                      	| RA, DEC 20 17 44.07 -23 33 36.8	| EL: 79.0	| Mag: 14.5	| moon_dis: 48.5	| moon_lum: 99.9
1871 Astyanax (1971 FF)          	| RA, DEC 00 33 02.94 -03 18 39.3	| EL: 36.2	| Mag: 18.3	| moon_dis: 17.8	| moon_lum: 99.9
50000 Quaoar (2002 LM60)         	| RA, DEC 18 36 51.02 -15 05 05.5	| EL: 54.1	| Mag: 18.9	| moon_dis: 70.9	| moon_lum: 99.9
28978 Ixion (2001 KX76)          	| RA, DEC 18 22 35.85 -32 04 55.8	| EL: 52.8	| Mag: 19.4	| moon_dis: 75.1	| moon_lum: 99.9
38628 Huya (2000 EB173)          	| RA, DEC 17 33 17.76 -07 47 56.9	| EL: 37.0	| Mag: 19.7	| moon_dis: 86.6	| moon_lum: 99.9
145452 Ritona (2005 RN43)        	| RA, DEC 23 29 51.73 +01 54 18.4	| EL: 47.1	| Mag: 19.8	| moon_dis: 6.1	| moon_lum: 99.9
679997 (2023 RB)                 	| RA, DEC 00 15 11.93 -02 10 08.4	| EL: 39.7	| Mag: 19.9	| moon_dis: 13.5	| moon_lum: 99.9
(2003 HM57)                      	| RA, DEC 20 40 39.53 -29 13 29.5	| EL: 81.4	| Mag: 19.9	| moon_dis: 45.8	| moon_lum: 99.9
679964 (2022 LV2)                	| RA, DEC 19 09 40.54 +02 20 43.5	| EL: 52.3	| Mag: 19.9	| moon_dis: 63.3	| moon_lum: 99.9


Local Time: 2025-09-07 23:00 -- UTC: 2025-09-08 02:00
--------------------------------------------------------------------------------------------------------------------------------------------------------
Pluto (999)                      	| RA, DEC 20 17 43.91 -23 33 37.3	| EL: 65.2	| Mag: 14.5	| moon_dis: 48.9	| moon_lum: 99.8
4708 Polydoros (1988 RT)         	| RA, DEC 00 49 59.55 +14 36 21.4	| EL: 35.2	| Mag: 17.1	| moon_dis: 28.2	| moon_lum: 99.8
1871 Astyanax (1971 FF)          	| RA, DEC 00 33 01.93 -03 18 49.0	| EL: 49.5	| Mag: 18.3	| moon_dis: 17.5	| moon_lum: 99.8
50000 Quaoar (2002 LM60)         	| RA, DEC 18 36 50.96 -15 05 06.0	| EL: 40.2	| Mag: 18.9	| moon_dis: 71.2	| moon_lum: 99.8
28978 Ixion (2001 KX76)          	| RA, DEC 18 22 35.79 -32 04 55.4	| EL: 40.1	| Mag: 19.4	| moon_dis: 75.5	| moon_lum: 99.8
145452 Ritona (2005 RN43)        	| RA, DEC 23 29 51.54 +01 54 17.1	| EL: 58.0	| Mag: 19.8	| moon_dis: 5.8	| moon_lum: 99.8
679997 (2023 RB)                 	| RA, DEC 00 15 11.34 -02 10 13.0	| EL: 52.5	| Mag: 19.9	| moon_dis: 13.1	| moon_lum: 99.8
(2003 HM57)                      	| RA, DEC 20 40 39.15 -29 13 29.1	| EL: 69.8	| Mag: 19.9	| moon_dis: 46.2	| moon_lum: 99.8
679964 (2022 LV2)                	| RA, DEC 19 09 40.40 +02 20 37.5	| EL: 40.3	| Mag: 19.9	| moon_dis: 63.6	| moon_lum: 99.8


Local Time: 2025-09-08 00:00 -- UTC: 2025-09-08 03:00
--------------------------------------------------------------------------------------------------------------------------------------------------------
Pluto (999)                      	| RA, DEC 20 17 43.74 -23 33 37.8	| EL: 51.4	| Mag: 14.5	| moon_dis: 49.3	| moon_lum: 99.8
5130 Ilioneus (1989 SC7)         	| RA, DEC 00 34 41.53 +20 18 16.3	| EL: 41.9	| Mag: 17.0	| moon_dis: 29.3	| moon_lum: 99.8
4708 Polydoros (1988 RT)         	| RA, DEC 00 49 58.56 +14 36 18.2	| EL: 44.9	| Mag: 17.1	| moon_dis: 27.8	| moon_lum: 99.8
1873 Agenor (1971 FH)            	| RA, DEC 01 38 50.39 +09 23 03.4	| EL: 40.7	| Mag: 17.9	| moon_dis: 35.9	| moon_lum: 99.8
1871 Astyanax (1971 FF)          	| RA, DEC 00 33 00.91 -03 18 58.8	| EL: 61.4	| Mag: 18.3	| moon_dis: 17.2	| moon_lum: 99.8
2060 Chiron (1977 UB)            	| RA, DEC 01 35 58.87 +10 42 21.3	| EL: 40.4	| Mag: 18.4	| moon_dis: 35.7	| moon_lum: 99.8
136199 Eris (2003 UB313)         	| RA, DEC 01 48 52.14 -00 14 20.6	| EL: 44.5	| Mag: 18.6	| moon_dis: 36.3	| moon_lum: 99.8
58931 Palmys (1998 MK47)         	| RA, DEC 02 33 27.06 -04 42 46.4	| EL: 36.8	| Mag: 19.4	| moon_dis: 47.2	| moon_lum: 99.8
145452 Ritona (2005 RN43)        	| RA, DEC 23 29 51.35 +01 54 15.7	| EL: 64.7	| Mag: 19.8	| moon_dis: 5.4	| moon_lum: 99.8
679997 (2023 RB)                 	| RA, DEC 00 15 10.75 -02 10 17.5	| EL: 63.5	| Mag: 19.9	| moon_dis: 12.8	| moon_lum: 99.8
(2003 HM57)                      	| RA, DEC 20 40 38.77 -29 13 28.7	| EL: 56.8	| Mag: 19.9	| moon_dis: 46.6	| moon_lum: 99.8


Local Time: 2025-09-08 01:00 -- UTC: 2025-09-08 04:00
--------------------------------------------------------------------------------------------------------------------------------------------------------
Pluto (999)                      	| RA, DEC 20 17 43.58 -23 33 38.4	| EL: 37.8	| Mag: 14.5	| moon_dis: 49.7	| moon_lum: 99.8
1173 Anchises (1930 UB)          	| RA, DEC 01 46 13.56 +19 38 43.6	| EL: 41.1	| Mag: 16.0	| moon_dis: 41.4	| moon_lum: 99.8
2241 Alcathous (1979 WM)         	| RA, DEC 01 26 06.53 +27 58 24.7	| EL: 35.8	| Mag: 16.2	| moon_dis: 42.5	| moon_lum: 99.8
2893 Peiroos (1975 QD)           	| RA, DEC 03 03 29.33 +00 37 39.3	| EL: 41.0	| Mag: 16.6	| moon_dis: 54.6	| moon_lum: 99.8
4348 Poulydamas (1988 RU)        	| RA, DEC 02 20 33.98 +16 01 26.1	| EL: 39.2	| Mag: 16.7	| moon_dis: 47.3	| moon_lum: 99.8
5130 Ilioneus (1989 SC7)         	| RA, DEC 00 34 40.49 +20 18 11.7	| EL: 46.5	| Mag: 17.0	| moon_dis: 28.9	| moon_lum: 99.8
4708 Polydoros (1988 RT)         	| RA, DEC 00 49 57.56 +14 36 15.0	| EL: 51.2	| Mag: 17.1	| moon_dis: 27.4	| moon_lum: 99.8
4722 Agelaos (4271 T-3)          	| RA, DEC 02 43 46.93 +09 51 11.1	| EL: 39.5	| Mag: 17.1	| moon_dis: 51.1	| moon_lum: 99.8
4805 Asteropaios (1990 VH7)      	| RA, DEC 01 39 48.17 +25 10 25.9	| EL: 37.0	| Mag: 17.1	| moon_dis: 43.1	| moon_lum: 99.8
34746 Thoon (2001 QE91)          	| RA, DEC 02 58 30.39 -13 22 26.7	| EL: 48.2	| Mag: 17.3	| moon_dis: 53.6	| moon_lum: 99.8
4792 Lykaon (1988 RK1)           	| RA, DEC 02 39 41.04 +09 39 53.7	| EL: 40.4	| Mag: 17.4	| moon_dis: 50.0	| moon_lum: 99.8
2895 Memnon (1981 AE1)           	| RA, DEC 03 22 37.74 -12 53 16.7	| EL: 42.5	| Mag: 17.4	| moon_dis: 59.4	| moon_lum: 99.8
12444 Prothoon (1996 GE19)       	| RA, DEC 02 26 56.55 +16 13 38.0	| EL: 38.1	| Mag: 17.5	| moon_dis: 48.8	| moon_lum: 99.8
1873 Agenor (1971 FH)            	| RA, DEC 01 38 49.73 +09 22 54.7	| EL: 50.7	| Mag: 17.9	| moon_dis: 35.5	| moon_lum: 99.8
1871 Astyanax (1971 FF)          	| RA, DEC 00 32 59.89 -03 19 08.6	| EL: 69.6	| Mag: 18.2	| moon_dis: 16.9	| moon_lum: 99.8
2060 Chiron (1977 UB)            	| RA, DEC 01 35 58.56 +10 42 19.5	| EL: 50.0	| Mag: 18.4	| moon_dis: 35.3	| moon_lum: 99.8
136199 Eris (2003 UB313)         	| RA, DEC 01 48 52.07 -00 14 21.1	| EL: 56.4	| Mag: 18.6	| moon_dis: 36.0	| moon_lum: 99.8
58931 Palmys (1998 MK47)         	| RA, DEC 02 33 26.69 -04 42 55.5	| EL: 50.2	| Mag: 19.4	| moon_dis: 46.9	| moon_lum: 99.8
145452 Ritona (2005 RN43)        	| RA, DEC 23 29 51.16 +01 54 14.3	| EL: 63.9	| Mag: 19.8	| moon_dis: 5.1	| moon_lum: 99.8
679997 (2023 RB)                 	| RA, DEC 00 15 10.16 -02 10 22.1	| EL: 69.4	| Mag: 19.9	| moon_dis: 12.5	| moon_lum: 99.8
